feature,mean_auc_decrease,sd_auc_decrease
AISent,0.21919475372163974,0.00838530163424916
Professional,0.012385860289724826,0.0011701199765573574
AIAcc,0.005670395564132236,0.0012053141951972961
Country,0.004987826268978657,0.0012616220901632321
AIThreat,0.0034436455950726972,0.0011286265023816736
OrgBucket,0.002556834936889063,0.0004996379795470162
PrimaryRole,0.0020479294343779208,0.0006457015001209365
WorkMode,0.0015494481904036739,0.0006499944228502873
Age,0.0009604565741202886,0.0006212675145580895
WorkExpNum,0.00019258712602155948,0.0004168256870667535
EmploymentGroup,4.856123077293661e-05,0.00021882018589552518
YearsCodeNum,-0.00013588206263573933,0.00016486129127921487
